YEAR,FILED,TOLID,OFFICE,CANAL,AREA,VARITE,AGE,Y,TON
1393,01-26,1,1,01,24.42,CP69,R1,113.96,2782.83
1393,01-30,1,1,01,23.11,CP69,R1,112.95,2610.32
1393,02-07,1,2,02,21.59,CP48,R1,108.82,2349.40
1393,02-11,1,2,02,25.26,CP48,R1,95.83,2420.57
1393,02-15,1,2,02,22.86,CP48,P,121.46,2776.47
1393,02-19,1,2,02,24.59,CP69,P,129.71,3189.47
1393,02-29,1,2,02,25.01,CP69,R1,104.43,2298.49
1393,03-10,1,1,03,23.2,CP69,R1,117.06,2715.71
1393,03-24,1,1,03,23.28,CP69,R1,100.37,2336.56
1393,03-28,1,1,03,20.24,CP69,P,139.15,2816.31
1393,04-03,1,2,04,23.41,CP48,R1,100.05,2342.11
1393,04-07,1,2,04,23.46,CP57,R1,106.90,2507.91
1393,04-11,1,2,04,23.6,CP48,P,130.97,3090.95
1393,04-17,1,2,04,23.01,CP69,P,140.30,3228.29
1393,04-35,1,2,04,15.28,CP69,R1,133.23,1950.56
1393,05-03,1,1,05,24.51,CP57,R2,84.31,2066.45
1393,05-04,1,1,05,23.24,CP73,R1,105.11,2442.66
1393,05-06,1,1,05,23.4,CP69,R2,124.18,2433.95
1393,05-07,1,1,05,23.3,CP57,R1,105.39,2455.49
1393,05-18,1,1,05,22.88,CP57,R1,78.46,1795.26
1393,05-19,1,1,05,22.89,CP73,P,121.24,2775.28
1393,05-23,1,1,05,23.04,CP69,R1,123.91,2854.82
1393,05-24,1,1,05,23.42,CP57,R1,107.93,2527.79
1393,06-03,1,2,06,23.4,CP48,R2,91.35,2137.62
1393,06-08,1,2,06,22.94,CP48,R2,93.01,2133.72
1393,06-09,1,2,06,23.08,CP48,R2,94.57,2182.61
1393,06-15,1,2,06,22.2,CP69,R2,106.44,2363.05
1393,07-04,1,1,07,23.54,CP70,R2,97.58,2296.93
1393,07-12,1,1,07,22.22,CP70,R2,98.75,1996.77
1393,07-20,1,1,07,23.13,CP73,R1,82.24,1902.24
1393,08-05,1,2,08,23.31,CP57,R2,87.44,2038.27
1393,08-11,1,2,08,23.27,CP57,R2,107.44,2500.07
1393,08-17,1,2,08,22.48,CP57,R2,102.19,2297.14
